image_name,tags
file_127,clear primary road water habitation bare_ground artisinal_mine
file_128,partly_cloudy primary agriculture road water
file_129,clear primary agriculture cultivation
file_130,clear water
file_131,clear primary agriculture road water cultivation habitation
file_132,clear primary agriculture road habitation
file_133,clear partly_cloudy primary
file_134,clear primary
file_135,clear primary agriculture road water habitation bare_ground
file_136,clear primary agriculture cultivation
file_137,partly_cloudy primary
file_138,clear primary water
file_139,clear primary
file_140,clear primary
file_141,clear primary agriculture road cultivation habitation
file_142,clear primary agriculture road habitation
file_143,clear primary
file_144,partly_cloudy primary agriculture road water cultivation
file_145,clear primary
file_146,clear primary
file_147,clear primary agriculture road water
file_148,partly_cloudy primary agriculture road cultivation
file_149,clear primary
file_150,partly_cloudy cloudy primary
file_151,clear primary water
file_152,clear primary
file_153,haze primary agriculture road water
file_154,clear primary
file_155,clear primary
file_156,haze primary agriculture road water
file_157,clear primary
file_158,clear primary
file_159,clear primary water
file_160,clear primary agriculture road habitation
file_161,clear primary
file_162,cloudy
file_163,clear primary
file_164,clear primary agriculture road habitation bare_ground
file_165,partly_cloudy primary
file_166,clear primary agriculture cultivation
file_167,clear haze primary agriculture road
file_168,partly_cloudy primary water
file_169,clear primary agriculture road cultivation
file_170,cloudy
file_171,clear haze water
file_172,clear primary
file_173,clear primary water
file_174,clear primary agriculture cultivation
file_175,clear primary agriculture water
file_176,clear primary agriculture water cultivation
file_177,clear primary
file_178,cloudy
file_179,clear primary
file_180,partly_cloudy primary
file_181,clear primary agriculture road cultivation habitation
file_182,clear primary
file_183,partly_cloudy primary agriculture
file_184,clear primary
file_185,clear primary agriculture road cultivation habitation
file_186,partly_cloudy primary
file_187,partly_cloudy primary
file_188,clear primary
file_189,clear haze primary agriculture road water cultivation
file_190,clear primary
file_191,clear primary water
file_192,clear partly_cloudy primary agriculture road cultivation
file_193,clear primary
file_194,clear primary agriculture road habitation
file_195,clear primary
file_196,clear primary agriculture water cultivation
file_197,clear primary agriculture road habitation
file_198,clear primary
file_199,clear primary
file_200,clear primary agriculture road habitation
file_201,clear haze primary
file_202,clear primary agriculture road cultivation habitation
file_203,clear primary
file_204,clear primary agriculture road water
file_205,clear primary water
file_206,clear primary agriculture road habitation
file_207,clear primary
file_208,clear primary agriculture road habitation
file_209,partly_cloudy primary
file_210,clear primary road water selective_logging
file_211,clear primary agriculture road cultivation habitation
file_212,clear primary
file_213,clear primary agriculture cultivation habitation
file_214,partly_cloudy primary agriculture
file_215,clear primary
file_216,clear primary
file_217,clear primary water
file_218,clear primary agriculture road water habitation artisinal_mine
file_219,clear primary agriculture road habitation bare_ground
file_220,clear primary
file_221,clear primary agriculture road habitation
file_222,clear primary agriculture road selective_logging
file_223,clear primary
file_224,clear primary water
file_225,clear primary agriculture road cultivation habitation
file_226,clear primary agriculture road
file_227,clear primary
file_228,partly_cloudy primary agriculture road water habitation
file_229,clear primary agriculture road cultivation habitation
file_230,clear primary
file_231,clear primary
file_232,clear primary
file_233,clear primary agriculture road water habitation
file_234,clear primary agriculture road water
file_235,haze cloudy
file_236,clear primary
file_237,clear primary agriculture water habitation
file_238,clear primary agriculture road habitation
file_239,haze primary
file_240,partly_cloudy primary agriculture cultivation
file_241,clear primary
file_242,partly_cloudy primary agriculture cultivation
file_243,clear primary agriculture road cultivation habitation
file_244,partly_cloudy primary agriculture
file_245,clear primary water
file_246,clear primary
file_247,clear cloudy water
file_248,clear primary
file_249,clear primary
file_250,clear primary
file_251,clear primary
file_252,clear primary agriculture road
file_253,clear primary agriculture water cultivation habitation
file_254,clear primary
file_255,partly_cloudy primary
file_256,partly_cloudy primary agriculture road
file_257,clear primary agriculture cultivation
file_258,partly_cloudy primary
file_259,clear primary agriculture road water
file_260,haze primary agriculture road water cultivation
file_261,partly_cloudy primary
file_262,clear partly_cloudy primary
file_263,clear primary agriculture road water
file_264,partly_cloudy primary agriculture water
file_265,clear cloudy water
file_266,clear primary
file_267,clear primary
file_268,clear primary water
file_269,clear primary
file_270,clear partly_cloudy primary agriculture road water
file_271,clear primary
file_272,clear primary road water
file_273,clear primary
file_274,clear primary agriculture water cultivation
file_275,partly_cloudy primary
file_276,clear primary agriculture road cultivation habitation
file_277,clear primary
file_278,clear primary
file_279,clear primary
file_280,partly_cloudy primary
file_281,clear primary water
file_282,partly_cloudy primary
file_283,partly_cloudy primary
file_284,clear primary agriculture cultivation
file_285,clear primary agriculture road cultivation habitation
file_286,clear primary water
file_287,clear primary agriculture cultivation
file_288,partly_cloudy primary agriculture road
file_289,clear primary agriculture road cultivation
file_290,clear primary
file_291,clear primary water artisinal_mine
file_292,partly_cloudy primary
file_293,clear primary agriculture bare_ground
file_294,clear primary
file_295,clear primary
file_296,clear primary agriculture road habitation
file_297,partly_cloudy primary
file_298,clear primary agriculture road water habitation artisinal_mine
file_299,clear water
file_300,clear primary
file_301,clear cloudy water
file_302,clear primary agriculture road cultivation habitation
file_303,partly_cloudy primary agriculture road water
file_304,clear primary
file_305,partly_cloudy primary
file_306,partly_cloudy primary agriculture water
file_307,haze primary water
file_308,clear primary
file_309,clear primary
file_310,partly_cloudy primary
file_311,cloudy primary water
file_312,partly_cloudy primary
file_313,clear primary
file_314,clear primary
file_315,clear haze primary agriculture water cultivation
file_316,clear primary agriculture road cultivation
file_317,clear primary
file_318,clear primary agriculture road habitation
file_319,clear primary water artisinal_mine
file_320,clear primary
file_321,clear partly_cloudy primary agriculture water cultivation
file_322,clear primary agriculture road water cultivation habitation
file_323,clear primary
file_324,clear primary
file_325,clear primary agriculture road cultivation
file_326,haze primary
file_327,clear primary agriculture road habitation
file_328,clear primary agriculture water
file_329,clear primary water
file_330,clear primary agriculture
file_331,partly_cloudy primary agriculture water
file_332,clear partly_cloudy primary water
file_333,partly_cloudy primary agriculture water
file_334,clear primary agriculture road cultivation
file_335,partly_cloudy primary
file_336,clear primary agriculture road
file_337,clear primary
file_338,haze cloudy primary
file_339,clear primary
file_340,partly_cloudy primary
file_341,clear primary
file_342,clear primary water
file_343,clear primary agriculture water cultivation
file_344,partly_cloudy primary agriculture cultivation
file_345,clear primary
file_346,clear primary
file_347,partly_cloudy primary water
file_348,clear partly_cloudy primary agriculture road water cultivation habitation
file_349,clear haze primary agriculture road cultivation
file_350,partly_cloudy primary
file_351,partly_cloudy primary agriculture road water
file_352,clear primary agriculture water
file_353,clear primary
file_354,partly_cloudy primary agriculture road
file_355,clear primary
file_356,clear primary agriculture road water cultivation habitation
file_357,partly_cloudy primary agriculture road
file_358,partly_cloudy primary
file_359,clear primary
file_360,clear primary
file_361,clear primary agriculture cultivation
file_362,haze primary agriculture water
file_363,clear primary road water habitation bare_ground artisinal_mine conventional_mine
file_364,clear primary
file_365,clear haze primary agriculture road
file_366,partly_cloudy primary
file_367,partly_cloudy primary agriculture road cultivation habitation
file_368,clear primary agriculture road cultivation
file_369,clear primary
file_370,clear primary
file_371,clear primary agriculture
file_372,clear primary agriculture cultivation
file_373,clear primary agriculture road cultivation
file_374,clear primary agriculture road habitation
file_375,clear primary
file_376,partly_cloudy primary
file_377,clear primary agriculture road water
file_378,clear primary agriculture road habitation
file_379,clear primary agriculture road cultivation
file_380,clear primary agriculture water
file_381,clear primary agriculture road cultivation
file_382,clear primary agriculture water cultivation
file_383,clear primary water cultivation
file_384,clear primary agriculture road cultivation habitation
file_385,clear primary agriculture water
file_386,clear primary
file_387,clear haze primary agriculture
file_388,clear primary agriculture road
file_389,partly_cloudy primary agriculture road water cultivation habitation
file_390,clear primary agriculture road cultivation habitation
file_391,partly_cloudy primary agriculture
file_392,clear primary water
file_393,haze primary agriculture
file_394,clear primary agriculture cultivation
file_395,partly_cloudy primary
file_396,clear primary
file_397,partly_cloudy primary
file_398,clear primary
file_399,partly_cloudy primary agriculture road habitation
file_400,clear primary agriculture road
file_401,clear haze primary
file_402,clear primary
file_403,clear primary
file_404,clear primary
file_405,clear primary
file_406,partly_cloudy primary agriculture road
file_407,clear primary agriculture road water
file_408,clear haze primary water
file_409,clear primary agriculture road water cultivation
file_410,clear primary agriculture road water
file_411,clear primary
file_412,clear primary agriculture cultivation
file_413,clear primary water artisinal_mine
file_414,clear primary agriculture road water
file_415,clear haze primary agriculture cultivation
file_416,clear primary
file_417,partly_cloudy primary
file_418,clear haze primary agriculture water
file_419,cloudy
file_420,cloudy
file_421,haze primary agriculture water
file_422,clear primary
file_423,haze partly_cloudy primary agriculture cultivation
file_424,clear primary agriculture road habitation
file_425,clear primary agriculture road cultivation
file_426,clear primary
file_427,clear primary
file_428,partly_cloudy cloudy primary
file_429,clear primary water
file_430,clear primary
file_431,clear primary
file_432,clear primary
file_433,clear primary
file_434,clear partly_cloudy primary
file_435,clear primary agriculture road water
file_436,clear primary
file_437,partly_cloudy cloudy primary
file_438,clear primary agriculture cultivation
file_439,haze partly_cloudy primary agriculture water
file_440,clear primary agriculture road bare_ground
file_441,clear primary
file_442,partly_cloudy primary
file_443,clear primary
file_444,partly_cloudy primary
file_445,partly_cloudy primary
file_446,clear primary agriculture road cultivation habitation
file_447,clear primary agriculture water
file_448,clear primary
file_449,clear primary
file_450,clear primary agriculture cultivation
file_451,cloudy
file_452,clear primary
file_453,clear primary
file_454,clear primary agriculture road water
file_455,clear primary road water
file_456,clear primary water
file_457,clear primary agriculture road habitation
file_458,clear primary
file_459,clear primary
file_460,clear haze primary agriculture road
file_461,haze primary water
file_462,clear primary
file_463,clear primary agriculture cultivation
file_464,clear primary
file_465,clear primary agriculture water
file_466,clear primary agriculture water
file_467,clear primary agriculture water
file_468,clear primary agriculture cultivation habitation
file_469,clear primary
file_470,clear primary water
file_471,partly_cloudy primary
file_472,clear primary agriculture road habitation
file_473,clear primary
file_474,clear primary
file_475,partly_cloudy primary agriculture road cultivation
file_476,clear primary water
file_477,clear primary agriculture road water cultivation
file_478,clear primary agriculture road
file_479,partly_cloudy primary
file_480,clear primary
file_481,haze partly_cloudy primary water
file_482,partly_cloudy primary
file_483,partly_cloudy primary agriculture road
file_484,clear primary
file_485,clear primary
file_486,clear primary agriculture road water habitation artisinal_mine
file_487,clear primary
file_488,clear primary
file_489,clear haze primary
file_490,clear partly_cloudy primary
file_491,clear primary agriculture water
file_492,clear primary agriculture cultivation
file_493,clear primary
file_494,cloudy primary
file_495,cloudy
file_496,partly_cloudy primary agriculture road cultivation
file_497,clear water
file_498,clear primary
file_499,clear primary agriculture road habitation
file_500,clear primary agriculture road water habitation
file_501,clear primary agriculture road cultivation habitation
file_502,clear partly_cloudy primary
file_503,clear primary
file_504,clear partly_cloudy primary water
file_505,partly_cloudy primary
file_506,clear haze primary agriculture water
file_507,partly_cloudy primary
file_508,clear primary
file_509,clear haze primary
file_510,clear primary road water habitation artisinal_mine
file_511,haze primary
file_512,clear primary agriculture water
file_513,partly_cloudy primary
file_514,clear primary water cultivation
file_515,clear haze primary
file_516,cloudy
file_517,clear primary
file_518,clear primary
file_519,clear primary
file_520,partly_cloudy primary water
file_521,partly_cloudy primary agriculture road water cultivation
file_522,partly_cloudy primary agriculture
file_523,cloudy
file_524,partly_cloudy primary
file_525,clear primary
file_526,clear primary
file_527,clear primary
file_528,clear haze primary agriculture road cultivation
file_529,clear primary agriculture road water cultivation habitation
file_530,clear primary
file_531,partly_cloudy primary agriculture road habitation
file_532,clear primary agriculture road cultivation habitation
file_533,partly_cloudy primary agriculture road water cultivation
file_534,clear primary water bare_ground artisinal_mine
file_535,clear primary
file_536,clear primary
file_537,clear primary
file_538,clear cloudy primary water
file_539,clear primary
file_540,clear primary agriculture cultivation habitation
file_541,clear primary
file_542,clear primary
file_543,clear primary agriculture cultivation
file_544,clear primary agriculture
file_545,clear partly_cloudy primary agriculture road water habitation
file_546,cloudy
file_547,partly_cloudy primary
file_548,clear primary
file_549,clear primary
file_550,clear primary
file_551,partly_cloudy primary
file_552,clear haze primary agriculture road water
file_553,clear primary agriculture road habitation
file_554,clear primary agriculture road habitation
file_555,partly_cloudy primary
file_556,clear primary
file_557,clear partly_cloudy primary
file_558,cloudy
file_559,partly_cloudy primary
file_560,cloudy
file_561,clear primary water
file_562,partly_cloudy primary
file_563,clear primary agriculture road cultivation habitation
file_564,partly_cloudy primary agriculture road cultivation
file_565,clear primary
file_566,clear primary agriculture road water cultivation habitation
file_567,clear primary agriculture road
file_568,clear primary
file_569,clear primary
file_570,clear primary
file_571,clear primary
file_572,clear primary agriculture road water
file_573,clear primary
file_574,clear primary agriculture cultivation
file_575,partly_cloudy primary
file_576,partly_cloudy primary agriculture road
file_577,partly_cloudy primary agriculture road cultivation
file_578,clear primary
file_579,clear primary agriculture cultivation
file_580,clear primary
file_581,clear primary
file_582,clear primary water
file_583,clear primary
file_584,clear primary agriculture cultivation habitation
file_585,clear primary
file_586,clear primary
file_587,partly_cloudy primary
file_588,cloudy
file_589,clear primary
file_590,clear primary
file_591,clear primary agriculture road bare_ground
file_592,clear primary
file_593,partly_cloudy primary agriculture road
file_594,partly_cloudy primary
file_595,clear primary
file_596,clear haze primary agriculture road cultivation habitation
file_597,clear primary agriculture
file_598,partly_cloudy primary water
file_599,partly_cloudy primary
file_600,partly_cloudy primary
file_601,haze primary
file_602,partly_cloudy primary
file_603,clear primary agriculture
file_604,clear primary
file_605,clear primary
file_606,cloudy
file_607,clear primary
file_608,clear cloudy water
file_609,clear primary agriculture road water habitation artisinal_mine
file_610,cloudy
file_611,clear primary
file_612,clear primary agriculture road habitation bare_ground
file_613,clear primary agriculture road
file_614,clear primary agriculture road habitation
file_615,cloudy primary water
file_616,clear primary agriculture water
file_617,clear primary
file_618,clear primary agriculture cultivation
file_619,clear primary
file_620,partly_cloudy primary
file_621,clear primary
file_622,clear primary
file_623,clear primary
file_624,clear primary
file_625,clear primary agriculture road habitation
file_626,partly_cloudy primary
file_627,clear partly_cloudy primary agriculture road cultivation habitation
file_628,clear primary agriculture cultivation
file_629,clear haze primary
file_630,cloudy
file_631,clear primary agriculture
file_632,clear primary
file_633,clear cloudy water
file_634,clear primary water
file_635,clear primary
file_636,clear primary
file_637,clear primary agriculture road bare_ground
file_638,clear partly_cloudy primary agriculture water cultivation
file_639,clear primary
file_640,clear primary agriculture road water habitation
file_641,clear primary road water
file_642,clear primary
file_643,clear primary agriculture cultivation
file_644,clear primary water bare_ground artisinal_mine
file_645,clear primary agriculture road cultivation habitation
file_646,clear primary
file_647,clear primary
file_648,haze primary agriculture water
file_649,cloudy
file_650,partly_cloudy primary
file_651,clear primary agriculture cultivation
file_652,clear partly_cloudy primary road water
file_653,haze partly_cloudy primary agriculture road water
file_654,clear primary agriculture water cultivation
file_655,clear primary agriculture road
file_656,clear primary
file_657,clear primary agriculture cultivation
file_658,clear primary
file_659,clear primary
file_660,clear water
file_661,clear primary
file_662,clear primary
file_663,clear primary
file_664,clear primary
file_665,clear primary
file_666,clear primary
file_667,partly_cloudy primary
file_668,cloudy primary
file_669,clear partly_cloudy primary
file_670,clear primary
file_671,clear primary
file_672,haze primary agriculture road water
file_673,clear primary agriculture water
file_674,clear primary agriculture road cultivation habitation
file_675,partly_cloudy primary
file_676,partly_cloudy primary
file_677,clear primary
file_678,partly_cloudy primary
file_679,partly_cloudy primary agriculture road habitation
file_680,partly_cloudy primary
file_681,clear primary agriculture
file_682,partly_cloudy primary
file_683,clear primary
file_684,clear primary
file_685,clear primary
file_686,cloudy
file_687,clear primary agriculture road cultivation
file_688,clear primary agriculture road habitation
file_689,clear primary
file_690,clear primary agriculture road cultivation habitation
file_691,clear primary
file_692,clear primary
file_693,clear primary
file_694,clear haze primary
file_695,clear primary water
file_696,partly_cloudy primary agriculture
file_697,clear primary agriculture road cultivation habitation
file_698,partly_cloudy primary
file_699,clear primary
file_700,clear primary
file_701,clear primary agriculture road cultivation habitation
file_702,clear primary
file_703,partly_cloudy primary agriculture water cultivation
file_704,clear primary agriculture road habitation bare_ground
file_705,haze cloudy primary
file_706,clear primary agriculture cultivation
file_707,clear primary
file_708,clear primary
file_709,clear primary agriculture road water habitation
file_710,clear primary water
file_711,clear primary
file_712,cloudy
file_713,clear primary
file_714,clear primary
file_715,clear haze primary water
file_716,partly_cloudy primary
file_717,clear primary
file_718,clear primary
file_719,clear primary agriculture road cultivation habitation
file_720,clear partly_cloudy primary
file_721,clear primary
file_722,clear primary
file_723,clear primary agriculture road
file_724,clear primary agriculture cultivation
file_725,clear primary agriculture road water cultivation habitation
file_726,clear primary agriculture road water
file_727,clear primary
file_728,partly_cloudy primary agriculture water
file_729,partly_cloudy primary agriculture cultivation
file_730,clear primary agriculture road water
file_731,clear primary
file_732,clear primary agriculture cultivation habitation
file_733,clear primary agriculture road water
file_734,clear primary
file_735,partly_cloudy primary
file_736,clear primary agriculture road cultivation habitation
file_737,clear primary agriculture water cultivation habitation
file_738,clear primary
file_739,clear primary
file_740,clear primary
file_741,clear primary
file_742,clear primary agriculture road cultivation habitation
file_743,clear primary
file_744,clear primary
file_745,partly_cloudy cloudy primary
file_746,partly_cloudy primary agriculture water cultivation
file_747,partly_cloudy primary
file_748,clear primary agriculture road cultivation habitation
file_749,haze primary
file_750,partly_cloudy primary
file_751,haze partly_cloudy primary
file_752,partly_cloudy primary
file_753,clear primary agriculture road habitation bare_ground
file_754,partly_cloudy primary
file_755,clear primary water
file_756,clear primary water
file_757,clear primary water
file_758,clear primary
file_759,clear primary
file_760,clear primary
file_761,clear primary agriculture cultivation
file_762,clear primary
file_763,clear primary
file_764,clear primary
file_765,clear partly_cloudy primary agriculture road
file_766,clear partly_cloudy primary agriculture
file_767,clear primary
file_768,clear primary agriculture road habitation
file_769,clear primary agriculture road
file_770,clear haze primary water
file_771,clear haze primary agriculture
file_772,haze primary
file_773,clear primary agriculture road water habitation
file_774,cloudy
file_775,clear primary agriculture road
file_776,clear primary agriculture
file_777,cloudy
file_778,clear primary
file_779,clear primary
file_780,clear primary
file_781,clear cloudy primary water
file_782,partly_cloudy primary agriculture road cultivation
file_783,clear primary agriculture water
file_784,clear primary agriculture road
file_785,clear primary agriculture road water cultivation habitation
file_786,clear primary
file_787,clear primary agriculture road cultivation habitation
file_788,clear primary
file_789,clear primary
file_790,clear haze primary agriculture water cultivation
file_791,haze primary agriculture water
file_792,clear primary agriculture
file_793,clear primary
file_794,haze primary
file_795,partly_cloudy primary
file_796,partly_cloudy primary agriculture road cultivation
file_797,clear haze primary
file_798,clear partly_cloudy primary
file_799,clear primary
file_800,clear primary agriculture water
file_801,clear primary agriculture road habitation bare_ground
file_802,clear primary agriculture road water habitation
file_803,clear primary agriculture cultivation
file_804,clear primary
file_805,clear primary
file_806,clear primary
file_807,clear primary agriculture road water
file_808,clear primary
file_809,clear primary agriculture road habitation
file_810,clear primary agriculture water
file_811,partly_cloudy primary agriculture road cultivation habitation
file_812,clear primary agriculture road habitation
file_813,clear haze primary agriculture road water
file_814,clear haze primary agriculture water cultivation
file_815,clear primary agriculture
file_816,clear primary agriculture
file_817,clear primary
file_818,haze primary agriculture water
file_819,clear primary agriculture road water habitation
file_820,clear primary
file_821,clear primary
file_822,clear primary
file_823,cloudy
file_824,haze primary
file_825,clear primary water
file_826,haze cloudy primary
file_827,cloudy
file_828,clear primary agriculture
file_829,clear primary agriculture road habitation bare_ground conventional_mine
file_830,haze cloudy primary
file_831,partly_cloudy primary
file_832,clear partly_cloudy primary agriculture water
file_833,clear primary agriculture road
file_834,clear primary
file_835,clear primary
file_836,cloudy primary
file_837,clear primary agriculture water
file_838,cloudy
file_839,partly_cloudy primary agriculture cultivation
file_840,clear primary agriculture water cultivation
file_841,clear primary agriculture road cultivation
file_842,haze primary
file_843,clear primary
file_844,clear haze primary water
file_845,clear partly_cloudy primary
file_846,clear primary agriculture
file_847,partly_cloudy primary agriculture road water
file_848,clear primary agriculture road water cultivation habitation
file_849,haze primary
file_850,clear primary water habitation
file_851,clear cloudy water
file_852,clear haze primary agriculture cultivation
file_853,clear haze primary agriculture road
file_854,clear primary water
file_855,haze partly_cloudy primary agriculture road water
file_856,clear primary
file_857,clear primary agriculture road water cultivation habitation
file_858,clear primary agriculture road
file_859,partly_cloudy primary agriculture road water cultivation
file_860,clear primary agriculture road water
file_861,clear primary
file_862,partly_cloudy primary agriculture
file_863,partly_cloudy primary
file_864,clear primary
file_865,clear primary
file_866,clear primary water
file_867,clear primary agriculture road water habitation
file_868,clear primary
file_869,cloudy primary agriculture road water
file_870,clear primary water
file_871,clear primary
file_872,clear haze primary water
file_873,partly_cloudy primary
file_874,clear primary
file_875,clear primary
file_876,clear primary
file_877,partly_cloudy primary agriculture road cultivation
file_878,clear primary
file_879,clear primary
file_880,partly_cloudy primary agriculture road water
file_881,clear primary agriculture cultivation
file_882,clear primary
file_883,clear primary agriculture road water habitation
file_884,clear primary road habitation
file_885,clear primary
file_886,clear primary agriculture road cultivation habitation
file_887,clear primary agriculture cultivation habitation
file_888,clear primary
file_889,clear primary water
file_890,partly_cloudy primary water
file_891,clear primary
file_892,clear primary
file_893,clear primary
file_894,clear primary agriculture road water cultivation habitation
file_895,partly_cloudy primary
file_896,clear haze primary agriculture
file_897,clear primary
file_898,clear primary agriculture road water
file_899,partly_cloudy primary
file_900,clear primary
file_901,clear primary
file_902,clear primary
file_903,partly_cloudy primary
file_904,partly_cloudy primary
file_905,clear primary
file_906,clear primary
file_907,cloudy
file_908,clear primary
file_909,partly_cloudy primary agriculture
file_910,clear primary
file_911,clear primary
file_912,clear primary
file_913,clear primary
file_914,partly_cloudy primary
file_915,clear primary
file_916,clear primary
file_917,clear primary agriculture water cultivation
file_918,clear primary road water artisinal_mine
file_919,clear primary
file_920,clear primary
file_921,haze primary
file_922,clear primary water
file_923,partly_cloudy primary
file_924,partly_cloudy primary
file_925,clear primary road water selective_logging blooming
file_926,clear primary
file_927,clear primary agriculture water
file_928,clear primary
file_929,clear primary
file_930,clear primary agriculture road water habitation
file_931,clear cloudy water
file_932,partly_cloudy primary agriculture road cultivation
file_933,clear primary agriculture bare_ground
file_934,partly_cloudy primary
file_935,cloudy
file_936,clear primary agriculture road
file_937,clear primary agriculture road water habitation
file_938,clear primary agriculture road
file_939,clear primary agriculture road habitation
file_940,clear primary
file_941,partly_cloudy primary
file_942,haze primary agriculture road water
file_943,clear partly_cloudy primary
file_944,clear primary water
file_945,partly_cloudy primary agriculture road
file_946,clear primary
file_947,clear primary
file_948,clear primary
file_949,clear primary agriculture road water cultivation habitation
file_950,clear primary agriculture
file_951,partly_cloudy primary
file_952,clear primary blooming
file_953,clear primary agriculture road habitation
file_954,clear primary agriculture road water
file_955,clear primary agriculture road habitation
file_956,clear primary
file_957,clear primary
file_958,partly_cloudy primary
file_959,clear partly_cloudy primary agriculture road water habitation
file_960,clear primary agriculture cultivation
file_961,partly_cloudy primary
file_962,clear primary agriculture road habitation
file_963,clear partly_cloudy primary agriculture water cultivation
file_964,clear primary
file_965,cloudy
file_966,cloudy
file_967,clear primary
file_968,clear primary
file_969,clear primary
file_970,clear primary
file_971,clear primary
file_972,clear primary
file_973,clear primary agriculture water cultivation
file_974,clear primary water
file_975,partly_cloudy primary
file_976,cloudy
file_977,clear primary
file_978,cloudy
file_979,clear primary
file_980,clear primary agriculture road habitation bare_ground
file_981,cloudy
file_982,clear primary
file_983,clear primary agriculture road habitation bare_ground
file_984,partly_cloudy primary agriculture road water cultivation habitation
file_985,clear primary
file_986,partly_cloudy primary
file_987,clear primary agriculture road cultivation
file_988,clear primary
file_989,partly_cloudy primary agriculture cultivation
file_990,clear primary
file_991,clear primary
file_992,clear cloudy water
file_993,clear primary agriculture road water
file_994,partly_cloudy primary
file_995,cloudy
file_996,clear primary agriculture road cultivation habitation
file_997,partly_cloudy primary
file_998,clear primary
file_999,clear primary agriculture road
file_1000,clear primary
file_1001,clear primary agriculture road water habitation
file_1002,clear primary
file_1003,partly_cloudy primary
file_1004,clear primary
file_1005,clear primary agriculture cultivation
file_1006,clear primary agriculture water
file_1007,partly_cloudy primary agriculture
file_1008,clear primary water
file_1009,clear primary agriculture cultivation
file_1010,clear primary agriculture water cultivation
file_1011,haze cloudy primary water
file_1012,clear primary agriculture road habitation
file_1013,clear primary
file_1014,clear haze primary water
file_1015,clear primary agriculture cultivation
file_1016,clear primary agriculture road habitation
file_1017,clear primary agriculture road habitation
file_1018,haze cloudy primary water
file_1019,clear primary agriculture cultivation
file_1020,clear primary
file_1021,partly_cloudy primary agriculture water
